;Data da Operação;Tipo Operação;Característica;Ativo;Corretora;Qtde;Preço (R$);Custo Médio (R$);Lucro/Perda (R$);%
11/01/2021;;Compra;Normal;BIDI4;BB-BI S.A.;2.900;41,86;0,00;;0,00 %
;;;;;;;;;0,00;
12/01/2021;;Compra;Normal;AERI3;BB-BI S.A.;10.400;11,92;0,00;;0,00 %
;;;;;;;;;0,00;
12/01/2021;;Venda;Normal;BIDI4;BB-BI S.A.;2.900;42,50;41,87;;1,52 %
;;;;;;;;;1.848,53;
13/01/2021;;Venda;Normal;AERI3;BB-BI S.A.;10.400;12,16;11,92;;2,01 %
;;;;;;;;;2.503,74;
13/01/2021;;Compra;Normal;LWSA3;BB-BI S.A.;1.200;103,13;0,00;;0,00 %
;;;;;;;;;0,00;
14/01/2021;;Compra;Normal;CASH3;BB-BI S.A.;4.800;25,45;0,00;;0,00 %
;;;;;;;;;0,00;
14/01/2021;;Venda;Normal;LWSA3;BB-BI S.A.;1.200;105,20;103,14;;2,00 %
;;;;;;;;;2.483,90;
15/01/2021;;Compra;Normal;AERI3;BB-BI S.A.;9.600;13,05;0,00;;0,00 %
;;;;;;;;;0,00;
15/01/2021;;Venda;Normal;CASH3;BB-BI S.A.;4.800;25,97;25,46;;2,00 %
;;;;;;;;;2.448,86;
18/01/2021;;Venda;Normal;AERI3;BB-BI S.A.;9.600;13,32;13,06;;2,06 %
;;;;;;;;;2.590,91;
18/01/2021;;Compra;Normal;CASH3;BB-BI S.A.;4.900;25,73;0,00;;0,00 %
;;;;;;;;;0,00;
19/01/2021;;Compra;Normal;BIDI4;BB-BI S.A.;2.800;45,21;0,00;;0,00 %
;;;;;;;;;0,00;
19/01/2021;;Venda;Normal;CASH3;BB-BI S.A.;4.900;25,67;25,74;;-0,26 %
;;;;;;;;;-330,67;
20/01/2021;;Venda;Normal;BIDI4;BB-BI S.A.;2.800;46,12;45,22;;2,00 %
;;;;;;;;;2.534,15;
20/01/2021;;Compra;Normal;CASH3;BB-BI S.A.;4.600;28,29;0,00;;0,00 %
;;;;;;;;;0,00;
21/01/2021;;Compra;Normal;AERI3;BB-BI S.A.;10.200;12,82;0,00;;0,00 %
;;;;;;;;;0,00;
21/01/2021;;Venda;Normal;CASH3;BB-BI S.A.;4.600;28,68;28,29;;1,40 %
;;;;;;;;;1.832,20;
22/01/2021;;Venda;Normal;AERI3;BB-BI S.A.;10.200;12,34;12,82;;-3,74 %
;;;;;;;;;-4.899,14;
26/01/2021;;Compra;Normal;AERI3;BB-BI S.A.;10.400;12,22;0,00;;0,00 %
;;;;;;;;;0,00;
27/01/2021;;Venda;Normal;AERI3;BB-BI S.A.;10.400;12,01;12,22;;-1,71 %
;;;;;;;;;-2.176,73;
29/01/2021;;Compra;Normal;NGRD3;BB-BI S.A.;13.500;9,04;0,00;;0,00 %
;;;;;;;;;0,00;
01/02/2021;;Compra;Normal;CASH3;BB-BI S.A.;4.500;27,96;0,00;;0,00 %
;;;;;;;;;0,00;
01/02/2021;;Venda;Normal;NGRD3;BB-BI S.A.;13.500;9,44;9,04;;4,45 %
;;;;;;;;;5.439,02;
02/02/2021;;Venda;Normal;CASH3;BB-BI S.A.;1.100;28,52;27,96;;2,02 %
;;;;;;;;;622,87;
02/02/2021;;Venda;Normal;CASH3;BB-BI S.A.;3.400;28,31;27,96;;1,26 %
;;;;;;;;;1.201,72;
02/02/2021;;Compra;Normal;NGRD3;BB-BI S.A.;13.700;9,30;0,00;;0,00 %
;;;;;;;;;0,00;
03/02/2021;;Compra;Normal;CASH3;BB-BI S.A.;3.900;32,46;0,00;;0,00 %
;;;;;;;;;0,00;
03/02/2021;;Venda;Normal;NGRD3;BB-BI S.A.;13.700;9,11;9,30;;-1,99 %
;;;;;;;;;-2.537,31;
04/02/2021;;Compra;Normal;BIDI4;BB-BI S.A.;2.400;52,41;0,00;;0,00 %
;;;;;;;;;0,00;
04/02/2021;;Venda;Normal;CASH3;BB-BI S.A.;3.900;33,36;32,46;;2,78 %
;;;;;;;;;3.530,37;
05/02/2021;;Venda;Normal;BIDI4;BB-BI S.A.;2.400;52,63;52,42;;0,40 %
;;;;;;;;;512,76;
08/02/2021;;Compra;Normal;CASH3;BB-BI S.A.;3.900;32,57;0,00;;0,00 %
;;;;;;;;;0,00;
09/02/2021;;Venda;Normal;CASH3;BB-BI S.A.;3.900;31,74;32,57;;-2,53 %
;;;;;;;;;-3.218,85;
09/02/2021;;Compra;Normal;PTBL3;BB-BI S.A.;12.100;10,28;0,00;;0,00 %
;;;;;;;;;0,00;
10/02/2021;;Venda;Normal;PTBL3;BB-BI S.A.;12.100;9,74;10,28;;-5,22 %
;;;;;;;;;-6.505,30;
17/02/2021;;Compra;Normal;CASH3;BB-BI S.A.;4.100;28,74;0,00;;0,00 %
;;;;;;;;;0,00;
18/02/2021;;Compra;Normal;BIDI4;BB-BI S.A.;2.300;50,62;0,00;;0,00 %
;;;;;;;;;0,00;
18/02/2021;;Venda;Normal;CASH3;BB-BI S.A.;4.100;29,03;28,74;;1,03 %
;;;;;;;;;1.221,33;
19/02/2021;;Venda;Normal;BIDI4;BB-BI S.A.;2.300;51,15;50,63;;1,02 %
;;;;;;;;;1.198,17;
19/02/2021;;Compra;Normal;CASH3;BB-BI S.A.;4.300;27,75;0,00;;0,00 %
;;;;;;;;;0,00;
22/02/2021;;Venda;Normal;CASH3;BB-BI S.A.;4.300;26,19;27,75;;-5,59 %
;;;;;;;;;-6.678,19;
22/02/2021;;Compra;Normal;GFSA3;BB-BI S.A.;21.300;5,15;0,00;;0,00 %
;;;;;;;;;0,00;
23/02/2021;;Compra;Normal;BIDI4;BB-BI S.A.;2.100;52,28;0,00;;0,00 %
;;;;;;;;;0,00;
23/02/2021;;Venda;Normal;GFSA3;BB-BI S.A.;21.300;5,17;5,15;;0,50 %
;;;;;;;;;553,39;
24/02/2021;;Venda;Normal;BIDI4;BB-BI S.A.;2.100;52,80;52,28;;1,01 %
;;;;;;;;;1.111,19;
24/02/2021;;Compra;Normal;CASH3;BB-BI S.A.;3.900;29,25;0,00;;0,00 %
;;;;;;;;;0,00;
25/02/2021;;Compra;Normal;BIDI4;BB-BI S.A.;2.200;50,91;0,00;;0,00 %
;;;;;;;;;0,00;
25/02/2021;;Venda;Normal;CASH3;BB-BI S.A.;3.900;29,72;29,25;;1,63 %
;;;;;;;;;1.861,39;
26/02/2021;;Venda;Normal;BIDI4;BB-BI S.A.;2.200;51,44;50,92;;1,02 %
;;;;;;;;;1.144,84;
26/02/2021;;Compra;Normal;CASH3;BB-BI S.A.;4.100;28,21;0,00;;0,00 %
;;;;;;;;;0,00;
01/03/2021;;Compra;Normal;BIDI4;BB-BI S.A.;2.100;55,90;0,00;;0,00 %
;;;;;;;;;0,00;
01/03/2021;;Venda;Normal;CASH3;BB-BI S.A.;4.100;29,28;28,21;;3,82 %
;;;;;;;;;4.419,67;
02/03/2021;;Venda;Normal;BIDI4;BB-BI S.A.;2.100;56,46;55,90;;1,01 %
;;;;;;;;;1.190,60;
02/03/2021;;Compra;Normal;CASH3;BB-BI S.A.;4.200;27,83;0,00;;0,00 %
;;;;;;;;;0,00;
03/03/2021;;Venda;Normal;CASH3;BB-BI S.A.;4.200;28,24;27,83;;1,50 %
;;;;;;;;;1.757,73;
04/03/2021;;Compra;Normal;BIDI4;BB-BI S.A.;2.200;53,03;0,00;;0,00 %
;;;;;;;;;0,00;
05/03/2021;;Venda;Normal;BIDI4;BB-BI S.A.;2.200;51,26;53,03;;-3,33 %
;;;;;;;;;-3.891,43;
05/03/2021;;Compra;Normal;TASA4;BB-BI S.A.;5.500;20,97;0,00;;0,00 %
;;;;;;;;;0,00;
08/03/2021;;Compra;Normal;CSNA3;BB-BI S.A.;3.100;36,51;0,00;;0,00 %
;;;;;;;;;0,00;
08/03/2021;;Venda;Normal;TASA4;BB-BI S.A.;5.500;21,19;20,98;;1,01 %
;;;;;;;;;1.175,81;
09/03/2021;;Venda;Normal;CSNA3;BB-BI S.A.;3.100;35,15;36,51;;-3,73 %
;;;;;;;;;-4.225,24;
09/03/2021;;Compra;Normal;TASA4;BB-BI S.A.;5.000;22,54;0,00;;0,00 %
;;;;;;;;;0,00;
10/03/2021;;Compra;Normal;GGBR4;BB-BI S.A.;4.200;26,98;0,00;;0,00 %
;;;;;;;;;0,00;
10/03/2021;;Venda;Normal;TASA4;BB-BI S.A.;5.000;22,79;22,55;;1,07 %
;;;;;;;;;1.212,39;
11/03/2021;;Venda;Normal;GGBR4;BB-BI S.A.;4.200;27,48;26,98;;1,88 %
;;;;;;;;;2.137,76;
11/03/2021;;Compra;Normal;TASA4;BB-BI S.A.;5.400;21,26;0,00;;0,00 %
;;;;;;;;;0,00;
12/03/2021;;Compra;Normal;GGBR4;BB-BI S.A.;4.400;27,51;0,00;;0,00 %
;;;;;;;;;0,00;
12/03/2021;;Venda;Normal;TASA4;BB-BI S.A.;5.400;21,49;21,27;;1,05 %
;;;;;;;;;1.207,12;
15/03/2021;;Venda;Normal;GGBR4;BB-BI S.A.;4.400;27,78;27,51;;1,01 %
;;;;;;;;;1.227,40;
15/03/2021;;Compra;Normal;GOAU4;BB-BI S.A.;9.600;12,60;0,00;;0,00 %
;;;;;;;;;0,00;
16/03/2021;;Compra;Normal;GGBR4;BB-BI S.A.;4.200;28,78;0,00;;0,00 %
;;;;;;;;;0,00;
16/03/2021;;Venda;Normal;GOAU4;BB-BI S.A.;9.600;12,74;12,60;;1,11 %
;;;;;;;;;1.349,39;
17/03/2021;;Venda;Normal;GGBR4;BB-BI S.A.;4.200;29,08;28,78;;1,06 %
;;;;;;;;;1.289,48;
17/03/2021;;Compra;Normal;TASA4;BB-BI S.A.;4.900;24,90;0,00;;0,00 %
;;;;;;;;;0,00;
18/03/2021;;Compra;Normal;GGBR4;BB-BI S.A.;4.300;28,62;0,00;;0,00 %
;;;;;;;;;0,00;
18/03/2021;;Venda;Normal;TASA4;BB-BI S.A.;4.900;25,16;24,91;;1,00 %
;;;;;;;;;1.229,79;
19/03/2021;;Venda;Normal;GGBR4;BB-BI S.A.;4.300;28,59;28,62;;-0,09 %
;;;;;;;;;-115,40;
19/03/2021;;Compra;Normal;TASA4;BB-BI S.A.;5.100;23,80;0,00;;0,00 %
;;;;;;;;;0,00;
22/03/2021;;Venda;Normal;TASA4;BB-BI S.A.;5.100;24,05;23,81;;1,01 %
;;;;;;;;;1.233,17;
23/03/2021;;Compra;Normal;TASA4;BB-BI S.A.;5.200;23,60;0,00;;0,00 %
;;;;;;;;;0,00;
24/03/2021;;Compra;Normal;RRRP3;BB-BI S.A.;3.000;41,21;0,00;;0,00 %
;;;;;;;;;0,00;
24/03/2021;;Venda;Normal;TASA4;BB-BI S.A.;1.000;23,84;23,61;;1,01 %
;;;;;;;;;238,97;
24/03/2021;;Venda;Normal;TASA4;BB-BI S.A.;4.200;23,58;23,61;;-0,08 %
;;;;;;;;;-84,28;
25/03/2021;;Venda;Normal;RRRP3;BB-BI S.A.;3.000;41,05;41,22;;-0,38 %
;;;;;;;;;-478,64;
25/03/2021;;Compra;Normal;TASA4;BB-BI S.A.;5.300;22,87;0,00;;0,00 %
;;;;;;;;;0,00;
26/03/2021;;Compra;Normal;GGBR4;BB-BI S.A.;4.300;28,61;0,00;;0,00 %
;;;;;;;;;0,00;
26/03/2021;;Venda;Normal;TASA4;BB-BI S.A.;5.300;23,11;22,88;;1,01 %
;;;;;;;;;1.232,27;
29/03/2021;;Venda;Normal;GGBR4;BB-BI S.A.;4.300;28,89;28,61;;1,00 %
;;;;;;;;;1.239,21;
29/03/2021;;Compra;Normal;PTBL3;BB-BI S.A.;14.300;8,74;0,00;;0,00 %
;;;;;;;;;0,00;
30/03/2021;;Compra;Normal;GGBR4;BB-BI S.A.;4.200;29,47;0,00;;0,00 %
;;;;;;;;;0,00;
30/03/2021;;Venda;Normal;PTBL3;BB-BI S.A.;14.300;8,72;8,74;;-0,16 %
;;;;;;;;;-210,55;
31/03/2021;;Venda;Normal;GGBR4;BB-BI S.A.;4.200;29,76;29,47;;1,00 %
;;;;;;;;;1.249,75;
31/03/2021;;Compra;Normal;PTBL3;BB-BI S.A.;14.100;8,98;0,00;;0,00 %
;;;;;;;;;0,00;
01/04/2021;;Compra;Normal;GGBR4;BB-BI S.A.;4.200;29,39;0,00;;0,00 %
;;;;;;;;;0,00;
01/04/2021;;Venda;Normal;PTBL3;BB-BI S.A.;14.100;8,86;8,98;;-1,31 %
;;;;;;;;;-1.662,10;
05/04/2021;;Venda;Normal;GGBR4;BB-BI S.A.;4.200;29,78;29,39;;1,35 %
;;;;;;;;;1.669,83;
05/04/2021;;Compra;Normal;TASA4;BB-BI S.A.;5.700;22,52;0,00;;0,00 %
;;;;;;;;;0,00;
06/04/2021;;Compra;Normal;GGBR4;BB-BI S.A.;4.400;30,15;0,00;;0,00 %
;;;;;;;;;0,00;
06/04/2021;;Venda;Normal;TASA4;BB-BI S.A.;5.700;22,76;22,53;;1,03 %
;;;;;;;;;1.327,95;
07/04/2021;;Venda;Normal;GGBR4;BB-BI S.A.;4.400;30,45;30,15;;1,01 %
;;;;;;;;;1.352,39;
07/04/2021;;Compra;Normal;MOSI3;BB-BI S.A.;6.300;21,13;0,00;;0,00 %
;;;;;;;;;0,00;
08/04/2021;;Compra;Normal;GGBR4;BB-BI S.A.;4.300;30,82;0,00;;0,00 %
;;;;;;;;;0,00;
08/04/2021;;Venda;Normal;MOSI3;BB-BI S.A.;6.300;21,35;21,14;;1,01 %
;;;;;;;;;1.349,09;
09/04/2021;;Venda;Normal;GGBR4;BB-BI S.A.;4.300;30,67;30,82;;-0,48 %
;;;;;;;;;-644,92;
09/04/2021;;Compra;Normal;MOSI3;BB-BI S.A.;6.100;21,82;0,00;;0,00 %
;;;;;;;;;0,00;
12/04/2021;;Compra;Normal;GGBR4;BB-BI S.A.;4.200;31,23;0,00;;0,00 %
;;;;;;;;;0,00;
12/04/2021;;Venda;Normal;MOSI3;BB-BI S.A.;6.100;22,05;21,83;;1,02 %
;;;;;;;;;1.364,09;
13/04/2021;;Venda;Normal;GGBR4;BB-BI S.A.;4.200;31,29;31,23;;0,19 %
;;;;;;;;;252,62;
13/04/2021;;Compra;Normal;POSI3;BB-BI S.A.;14.500;9,03;0,00;;0,00 %
;;;;;;;;;0,00;
14/04/2021;;Compra;Normal;GGBR4;BB-BI S.A.;4.100;32,40;0,00;;0,00 %
;;;;;;;;;0,00;
14/04/2021;;Venda;Normal;POSI3;BB-BI S.A.;14.500;9,17;9,03;;1,58 %
;;;;;;;;;2.076,18;
15/04/2021;;Venda;Normal;GGBR4;BB-BI S.A.;4.100;32,73;32,40;;1,03 %
;;;;;;;;;1.376,27;
15/04/2021;;Compra;Normal;POSI3;BB-BI S.A.;13.300;10,02;0,00;;0,00 %
;;;;;;;;;0,00;
16/04/2021;;Venda;Normal;POSI3;BB-BI S.A.;13.300;10,22;10,02;;2,01 %
;;;;;;;;;2.692,60;
16/04/2021;;Compra;Normal;USIM5;BB-BI S.A.;6.300;21,57;0,00;;0,00 %
;;;;;;;;;0,00;
19/04/2021;;Compra;Normal;POSI3;BB-BI S.A.;12.200;11,28;0,00;;0,00 %
;;;;;;;;;0,00;
19/04/2021;;Venda;Normal;USIM5;BB-BI S.A.;6.300;21,80;21,58;;1,03 %
;;;;;;;;;1.410,41;
20/04/2021;;Venda;Normal;POSI3;BB-BI S.A.;12.200;11,19;11,28;;-0,75 %
;;;;;;;;;-1.038,88;
20/04/2021;;Compra;Normal;UNIP6;BB-BI S.A.;1.700;80,93;0,00;;0,00 %
;;;;;;;;;0,00;
22/04/2021;;Compra;Normal;POSI3;BB-BI S.A.;11.600;11,66;0,00;;0,00 %
;;;;;;;;;0,00;
22/04/2021;;Venda;Normal;UNIP6;BB-BI S.A.;1.700;79,97;80,93;;-1,18 %
;;;;;;;;;-1.631,65;
23/04/2021;;Compra;Normal;CSNA3;BB-BI S.A.;2.700;49,04;0,00;;0,00 %
;;;;;;;;;0,00;
23/04/2021;;Venda;Normal;POSI3;BB-BI S.A.;11.600;11,60;11,66;;-0,53 %
;;;;;;;;;-727,56;
26/04/2021;;Venda;Normal;CSNA3;BB-BI S.A.;2.700;49,83;49,05;;1,59 %
;;;;;;;;;2.114,30;
26/04/2021;;Compra;Normal;POSI3;BB-BI S.A.;11.400;11,95;0,00;;0,00 %
;;;;;;;;;0,00;
27/04/2021;;Venda;Normal;POSI3;BB-BI S.A.;11.400;12,13;11,95;;1,51 %
;;;;;;;;;2.064,01;
27/04/2021;;Compra;Normal;USIM5;BB-BI S.A.;6.000;23,09;0,00;;0,00 %
;;;;;;;;;0,00;
28/04/2021;;Compra;Normal;POSI3;BB-BI S.A.;12.400;11,06;0,00;;0,00 %
;;;;;;;;;0,00;
28/04/2021;;Venda;Normal;USIM5;BB-BI S.A.;6.000;22,77;23,10;;-1,38 %
;;;;;;;;;-1.922,17;
29/04/2021;;Venda;Normal;POSI3;BB-BI S.A.;12.400;11,23;11,06;;1,55 %
;;;;;;;;;2.129,44;
29/04/2021;;Compra;Normal;USIM5;BB-BI S.A.;6.100;22,92;0,00;;0,00 %
;;;;;;;;;0,00;
30/04/2021;;Venda;Normal;USIM5;BB-BI S.A.;6.100;22,35;22,93;;-2,48 %
;;;;;;;;;-3.481,47;
03/05/2021;;Compra;Normal;POSI3;BB-BI S.A.;13.600;10,33;0,00;;0,00 %
;;;;;;;;;0,00;
04/05/2021;;Compra;Normal;BIDI4;BB-BI S.A.;1.900;72,01;0,00;;0,00 %
;;;;;;;;;0,00;
04/05/2021;;Venda;Normal;POSI3;BB-BI S.A.;13.600;10,49;10,33;;1,57 %
;;;;;;;;;2.207,41;
05/05/2021;;Venda;Normal;BIDI4;BB-BI S.A.;1.900;72,74;72,02;;1,00 %
;;;;;;;;;1.379,88;
05/05/2021;;Compra;Normal;POSI3;BB-BI S.A.;12.800;11,05;0,00;;0,00 %
;;;;;;;;;0,00;
06/05/2021;;Compra;Normal;AGRO3;BB-BI S.A.;4.100;35,18;0,00;;0,00 %
;;;;;;;;;0,00;
06/05/2021;;Venda;Normal;POSI3;BB-BI S.A.;12.800;11,22;11,05;;1,55 %
;;;;;;;;;2.198,84;
07/05/2021;;Venda;Normal;AGRO3;BB-BI S.A.;4.100;34,98;35,18;;-0,55 %
;;;;;;;;;-800,90;
07/05/2021;;Compra;Normal;POSI3;BB-BI S.A.;13.200;10,82;0,00;;0,00 %
;;;;;;;;;0,00;
10/05/2021;;Compra;Normal;BPAN4;BB-BI S.A.;8.100;17,53;0,00;;0,00 %
;;;;;;;;;0,00;
10/05/2021;;Venda;Normal;POSI3;BB-BI S.A.;13.200;10,93;10,82;;1,03 %
;;;;;;;;;1.478,23;
11/05/2021;;Venda;Normal;BPAN4;BB-BI S.A.;8.100;17,03;17,54;;-2,84 %
;;;;;;;;;-4.039,61;
11/05/2021;;Compra;Normal;POSI3;BB-BI S.A.;11.600;12,21;0,00;;0,00 %
;;;;;;;;;0,00;
12/05/2021;;Compra;Normal;BPAN4;BB-BI S.A.;8.400;16,91;0,00;;0,00 %
;;;;;;;;;0,00;
12/05/2021;;Venda;Normal;POSI3;BB-BI S.A.;11.600;12,40;12,21;;1,56 %
;;;;;;;;;2.214,72;
13/05/2021;;Venda;Normal;BPAN4;BB-BI S.A.;8.400;17,09;16,92;;1,04 %
;;;;;;;;;1.490,69;
13/05/2021;;Compra;Normal;POSI3;BB-BI S.A.;11.700;11,93;0,00;;0,00 %
;;;;;;;;;0,00;
14/05/2021;;Compra;Normal;BPAN4;BB-BI S.A.;7.700;17,45;0,00;;0,00 %
;;;;;;;;;0,00;
14/05/2021;;Venda;Normal;POSI3;BB-BI S.A.;11.700;11,44;11,93;;-4,13 %
;;;;;;;;;-5.772,64;
17/05/2021;;Venda;Normal;BPAN4;BB-BI S.A.;7.700;17,07;17,46;;-2,21 %
;;;;;;;;;-2.972,35;
17/05/2021;;Compra;Normal;PTBL3;BB-BI S.A.;9.700;13,60;0,00;;0,00 %
;;;;;;;;;0,00;
18/05/2021;;Compra;Normal;BPAN4;BB-BI S.A.;7.000;19,25;0,00;;0,00 %
;;;;;;;;;0,00;
18/05/2021;;Venda;Normal;PTBL3;BB-BI S.A.;9.700;13,88;13,61;;2,05 %
;;;;;;;;;2.713,40;
19/05/2021;;Venda;Normal;BPAN4;BB-BI S.A.;7.000;19,28;19,26;;0,13 %
;;;;;;;;;186,46;
19/05/2021;;Compra;Normal;PTBL3;BB-BI S.A.;9.000;14,95;0,00;;0,00 %
;;;;;;;;;0,00;
